url,name,brand,price,currency,availability,sku,rating_value,review_count
https://www.ikea.com/us/en/p/aftonsparv-led-decorative-light-planet-shape-multicolor-20559209/,AFTONSPARV LED decorative light - planet shape multicolor,IKEA,29.99,USD,InStock,N/A,4.7,92
https://www.ikea.com/us/en/p/aftonsparv-led-table-lamp-rocket-multicolor-10555235/,AFTONSPARV LED table lamp - rocket/multicolor,IKEA,34.99,USD,InStock,N/A,4.3,158
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-alien-green-80551559/,"AFTONSPARV Soft toy - alien/green 13 """,IKEA,9.99,USD,InStock,N/A,4.9,467
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-earth-multicolor-90562425/,AFTONSPARV Soft toy - Earth/multicolor,IKEA,4.99,USD,InStock,N/A,4.9,10
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-mini-alien-green-70562431/,"AFTONSPARV Soft toy - mini-alien/green 4 """,IKEA,1.99,USD,InStock,N/A,4.7,219
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-spaceship-multicolor-20551637/,AFTONSPARV Soft toy - spaceship/multicolor,IKEA,14.99,USD,InStock,N/A,4.6,59
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-with-astronaut-suit-bear-70551545/,"AFTONSPARV Soft toy with astronaut suit - bear 11 """,IKEA,12.99,USD,InStock,N/A,4.9,137
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-with-astronaut-suit-cat-00551539/,"AFTONSPARV Soft toy with astronaut suit - cat 11 """,IKEA,12.99,USD,InStock,N/A,4.8,132
https://www.ikea.com/us/en/p/aftonsparv-soft-toy-with-astronaut-suit-rabbit-10551534/,"AFTONSPARV Soft toy with astronaut suit - rabbit 11 """,IKEA,12.99,USD,InStock,N/A,4.7,107
https://www.ikea.com/us/en/p/agam-junior-chair-black-70253541/,AGAM Junior chair - black,IKEA,69.99,USD,InStock,N/A,4.6,676
https://www.ikea.com/us/en/p/agen-armchair-rattan-bamboo-50058376/,AGEN Armchair - rattan/bamboo,IKEA,99.99,USD,InStock,N/A,4.3,446
https://www.ikea.com/us/en/p/agen-chair-with-cushion-rattan-norna-natural-s79390770/,AGEN Chair with cushion - rattan/Norna natural,IKEA,109.99,USD,InStock,N/A,4.5,140
https://www.ikea.com/us/en/p/aglaonema-potted-plant-chinese-evergreen-60626773/,"AGLAONEMA Potted plant - Chinese evergreen 9 """,IKEA,29.99,USD,InStock,N/A,5,1
https://www.ikea.com/us/en/p/agotnes-foam-mattress-firm-light-blue-10600959/,ÅGOTNES Foam mattress - firm/light blue Queen,IKEA,N/A,USD,N/A,N/A,4,1227
https://www.ikea.com/us/en/p/agunnaryd-pendant-lamp-with-3-lamps-black-10364783/,"AGUNNARYD Pendant lamp with 3 lamps - black 48 """,IKEA,179.99,USD,InStock,N/A,4.5,225
https://www.ikea.com/us/en/p/aheim-door-with-hinges-mirror-glass-s09281722/,"ÅHEIM Door with hinges - mirror glass 19 1/2x76 5/8 """,IKEA,105,USD,InStock,N/A,4.5,354
https://www.ikea.com/us/en/p/akerbaer-bucket-plant-pot-indoor-outdoor-dark-blue-80584791/,ÅKERBÄR Bucket/plant pot - indoor/outdoor dark blue 11 qt,IKEA,14.99,USD,InStock,N/A,5,4
https://www.ikea.com/us/en/p/akerbaer-plant-pot-indoor-outdoor-dark-blue-30584798/,"ÅKERBÄR Plant pot - indoor/outdoor dark blue 12 ½ """,IKEA,14.99,USD,InStock,N/A,4.6,142
https://www.ikea.com/us/en/p/akerbaer-plant-pot-indoor-outdoor-galvanized-00537162/,"ÅKERBÄR Plant pot - indoor/outdoor/galvanized 7 ½ """,IKEA,6.99,USD,InStock,N/A,4.6,143
https://www.ikea.com/us/en/p/akerbaer-plant-stand-on-wheels-indoor-outdoor-galvanized-10537166/,"ÅKERBÄR Plant stand on wheels - indoor/outdoor/galvanized 12 ¼ """,IKEA,9.99,USD,InStock,N/A,4.4,154
https://www.ikea.com/us/en/p/akerbaer-watering-can-indoor-outdoor-dark-blue-70584800/,ÅKERBÄR Watering can - indoor/outdoor dark blue 34 oz,IKEA,8.99,USD,InStock,N/A,5,5
https://www.ikea.com/us/en/p/akerbruk-wll-orgnzr-hks-80554077/,"ÅKERBRUK Wll orgnzr/hks 16 ½x4 ¾x10 ¼ """,IKEA,14.99,USD,InStock,N/A,4.6,16
https://www.ikea.com/us/en/p/akrehamn-foam-mattress-firm-white-10592841/,ÅKREHAMN Foam mattress - firm/white Queen,IKEA,N/A,USD,N/A,N/A,4.1,725
https://www.ikea.com/us/en/p/akrehamn-foam-mattress-medium-firm-white-50592839/,ÅKREHAMN Foam mattress - medium firm/white King,IKEA,N/A,USD,N/A,N/A,4.1,724
https://www.ikea.com/us/en/p/akterskarp-brunalger-ceiling-fan-w-extension-downrod-wood-effect-dark-gray-s79578296/,AKTERSKARP / BRUNALGER Ceiling fan w extension downrod - wood effect dark gray,IKEA,149.99,USD,InStock,N/A,5,1
https://www.ikea.com/us/en/p/akterskarp-led-ceiling-fan-with-light-dimmable-wood-effect-dark-gray-20595453/,AKTERSKARP LED ceiling fan with light - dimmable/wood effect dark gray,IKEA,139.99,USD,InStock,N/A,5,2
https://www.ikea.com/us/en/p/aktertofter-brunalger-ceiling-fan-w-extension-downrod-wood-effect-silver-color-s99578295/,AKTERTOFTER / BRUNALGER Ceiling fan w extension downrod - wood effect silver color,IKEA,179.99,USD,InStock,N/A,5,1
https://www.ikea.com/us/en/p/aktertofter-led-ceiling-fan-with-light-dimmable-wood-effect-silver-color-80595450/,AKTERTOFTER LED ceiling fan with light - dimmable/wood effect silver color,IKEA,169.99,USD,InStock,N/A,5,2
https://www.ikea.com/us/en/p/alefjaell-office-chair-glose-black-10367461/,ALEFJÄLL Office chair - Glose black,IKEA,399.99,USD,InStock,N/A,4.5,890
https://www.ikea.com/us/en/p/alex-caster-black-10480607/,"ALEX Caster - black 2 """,IKEA,10,USD,InStock,N/A,4.4,242
https://www.ikea.com/us/en/p/alex-desk-black-blue-70590472/,"ALEX Desk - black-blue 52x22 7/8 """,IKEA,249.99,USD,InStock,N/A,4.4,682
https://www.ikea.com/us/en/p/alex-drawer-unit-black-blue-00590475/,"ALEX Drawer unit - black-blue 14 1/8x27 1/2 """,IKEA,75,USD,InStock,N/A,4.5,3121
https://www.ikea.com/us/en/p/alex-drawer-unit-with-9-drawers-black-brown-70483434/,"ALEX Drawer unit with 9 drawers - black-brown 14 1/8x45 5/8 """,IKEA,199.99,USD,InStock,N/A,4.5,679
https://www.ikea.com/us/en/p/alex-storage-unit-black-brown-70563765/,"ALEX Storage unit - black-brown 14 1/8x27 1/2 """,IKEA,70,USD,InStock,N/A,4.5,250
https://www.ikea.com/us/en/p/alhult-alhult-table-and-2-benches-beige-brown-beige-brown-s39610104/,"ÅLHULT / ÅLHULT Table and 2 benches - beige/brown/beige/brown 47 1/4x31 1/2 """,IKEA,369.97,USD,InStock,N/A,5,2
https://www.ikea.com/us/en/p/alhult-alhult-table-and-6-chairs-beige-brown-kabusa-light-beige-beige-s39611622/,"ÅLHULT / ÅLHULT Table and 6 chairs - beige/brown/Kabusa light beige beige 66 7/8/86 5/8x31 1/2 """,IKEA,659.99,USD,InStock,N/A,5,3
https://www.ikea.com/us/en/p/alhult-bench-beige-brown-60603093/,"ÅLHULT Bench - beige/brown 40 1/2x14 1/8 """,IKEA,99.99,USD,InStock,N/A,5,5
https://www.ikea.com/us/en/p/almaan-leg-light-gray-30535133/,"ALMAÅN Leg - light gray 7 """,IKEA,30,USD,InStock,N/A,5,5
https://www.ikea.com/us/en/p/almaan-leg-stainless-steel-20534916/,"ALMAÅN Leg - stainless steel 4 3/4-7 7/8 """,IKEA,20,USD,InStock,N/A,4.5,68
https://www.ikea.com/us/en/p/almaroed-mirror-black-20506131/,"ALMARÖD Mirror - black 29 1/2x66 7/8 """,IKEA,199.99,USD,InStock,N/A,5,7
https://www.ikea.com/us/en/p/almondy-almond-cake-salted-caramel-peanut-frozen-10584228/,ALMONDY Almond cake - salted caramel peanut/frozen 15 oz,IKEA,8.49,USD,InStoreOnly,N/A,4.5,253
https://www.ikea.com/us/en/p/almtjaern-bath-mat-beige-40489423/,"ALMTJÄRN Bath mat - beige 24x35 """,IKEA,29.99,USD,InStock,N/A,4.6,1338
